Address,Location Name,Location Type,Specific Location Type,Visits,Latitude,Longitude,
21st Ave & Crescent St,Clooney's Tavern,Hospitality,Bar,5,40.78108925,-73.91213799,
22 2nd Ave,,Roadway,Street,1,40.72512757,-73.9903008,
2212 34th Street,,Residence,,1,40.7468537,-73.93048563,
2212 35th St,,Residence,,9,40.77482699,-73.90941164,
22-18 31st St,,,,1,40.7758646,-73.91122284,
2224 31st St,Edebohls Candy,Business,Candy store,2,40.77587469,-73.91166179,
239 East 5th St,New Villa,Hospitality,Restaurant,1,40.72779444,-73.98943521,
241 West 231st,,Business,Candy store,1,40.88031486,-73.90577522,
2419 Ditmars Boulevard,,Business,Stationary store,1,40.77912353,-73.91439042,
242 East 85th,,Business,Chinese laundry,1,40.77747754,-73.95274231,
248 West 230th St,Kingsbridge Tavern,Hospitality,Bar,1,40.87947719,-73.90941636,
252 East 92nd St,,Residence,,1,40.65959006,-73.92461303,
"2568 33rd St, Astoria",,Residence,,15,40.76829856,-73.91843795,
"2569 33rd St, Astoria",,Residence,,4,40.76817088,-73.91792078,
260 West 92th St,,Residence,,1,40.79240372,-73.97393583,
2605 Grand Concourse,W. Boyd Council,Business,Office,1,40.86511139,-73.89563732,
28th St & Astoria Blvd,Uncle Tom's Tavern,Hospitality,Bar,2,40.77093449,-73.92081276,
29th St & Dittmar Blvd,,Roadway,Street,1,40.776765,-73.911764,
305 Roebling Street,W & L Stationary and Cigars,Business,Stationary store,2,40.7095882,-73.9607387,
307 1st Ave,,Business,Candy store,3,40.73421063,-73.98122678,
"31st St & 30th Ave, Astoria",,Transportation,Train station,4,40.76698197,-73.92138772,
313 East Kingsbridge Rd,Lido Rivera Restaurant,Hospitality,Restaurant,2,40.86262883,-73.89380349,
318 Roebling St,,Residence,,2,40.70902776,-73.96102556,
31st Ave & Steinway St,,Neighborhood & Parks,,1,40.76130731,-73.91706268,
31st Ave & Newton Rd,Fay's Service Station,Business,Gas station,1,40.760226,-73.91472,
320 Roebling Street,,Business,Candy store,1,40.70894775,-73.96112487,
327 47th St,,Residence,House,3,40.7809429,-74.02158655,
327 East 10th St,Dr Selwyn,Business,Dentist,3,40.72753629,-73.98064304,
3318 Ditmar Blvd,,Business,Store,1,40.77542884,-73.90917372,
332 Hart St,,Roadway,Street,1,40.6943922,-73.93811199,
34 Avenue A,Konopolsky's Furniture Store,Business,Furniture store,1,40.72406478,-73.98505085,
35-12 Ditmars Blvd,Morris Specialty Shop,Business,Dry Goods Store,1,40.77460709,-73.90867352,
3511 9th Street,De Mobile Cigar Co.,Business,Factory,1,40.76359224,-73.9404679,
35th Street,,Business,Stationary store,1,,,
396 Water St,,Neighborhood & Parks,Street,3,40.70993887,-73.99624497,
East 9th St & 3rd Avenue,BMT,Transportation,Subway station,1,40.73026866,-73.98938965,
40-02 Northern Blvd,Charles Ice Cream Parlor,Hospitality,Ice Cream Parlor,1,40.75351947,-73.92432134,
40-10 Greempoint Ave,,Business,Bakery,3,40.74032954,-73.92473733,
40-20 Greenpoint Ave,Ben's Dairy Store,Business,Store,2,40.73971572,-73.92470053,
4018 190th Street,,Residence,,2,40.76058451,-73.79185405,
4022 Greenpoint Ave,,Business,Candy store,4,40.74041302,-73.92434413,
4024 Greenpoint,,Business,Store,1,40.73978466,-73.92441852,
41st St & Greenpoint Ave,,Roadway,Mailbox,3,40.74014089,-73.9240845,
428 West 47th Street,,Residence,,4,40.76253234,-73.99182162,
43rd St & Broadway,Paramount Theater,Entertainment,Theater,2,40.75672633,-73.98613549,
4420 Greenpoint Ave,Silvers Womens Shoppe,Business,Store,1,40.74199758,-73.92017589,
451 West 44th St,,Residence,,1,40.76106105,-73.99359948,
45th St & Greenpoint Ave,,Roadway,Street,1,40.74196829,-73.91993752,
46-12 Greenpoint Ave,Woolworths ,Business,5 & 10 cent store,1,40.74224437,-73.91834514,
4604 31st Ave,Boulevard Hospital ,Government/Organization,Hospital,2,40.75955582,-73.91232635,
467 West 46th Street ,,Residence,,43,40.76215618,-73.99167251,
468 West 46th Street ,,Residence,,7,40.76210418,-73.99357592,
46th Street & 10th Ave,,Business,Newstand,2,40.76243123,-73.99361329,
46th Street & Greenpoint,Woolworths ,Business,5 & 10 cent store,5,40.74234688,-73.9188404,
4729 44th St,,Residence,,1,40.74052251,-73.92085741,
"47th St & 10th Ave, NE cnr",,Roadway,Corner,11,40.76327911,-73.99294351,
4825 40th St,,Residence,,33,40.7391733,-73.92496873,
48th St and 9th Ave,,Roadway,Corner,1,40.76233716,-73.98988053,
1620 Broadway,,Entertainment,Theater,1,40.76111588,-73.98400037,
50-26 195th Street,,Residence,,1,40.75119553,-73.78391742,
5018 19th Ave,,Residence,,1,40.62633844,-73.97983894,
533 West 232nd St,,Residence,,6,40.88333923,-73.90901333,
534 West 232nd St,,Residence,,1,40.88383267,-73.91098995,
60th Street & 4th Ave,,Business,Used Car Dealer,1,40.64105997,-74.01851212,
6119 4th Ave,,Business,Candy store,1,40.63980558,-74.01918511,
612 9th Ave,Lichtman's,Business,Furniture store,1,40.75986517,-73.9914761,
6315 5th Ave,Finance Outlet Sales,Business,Used Car Dealer,1,40.63821586,-74.01786257,
64 2nd Ave,,Roadway,Street,1,40.72672709,-73.98954178,
654 10th Ave,,Business,Drug store,1,40.76233624,-73.99331699,
66 East Kingsbridge Rd,Corn Exchange Bank,Business,Bank,4,40.86659429,-73.89576054,
664 10th Ave,,Residence,,18,40.76333563,-73.99290064,
682 9th Ave,O'Hara's bar,Entertainment,Bar,1,40.7623519,-73.99010164,
6th St & Ave C,,Neighborhood & Parks,,2,40.72353431,-73.97923865,
708 9th Ave,,Residence,,4,40.7625829,-73.98945248,
723 11th Ave,,Residence,,1,40.76747191,-73.99406466,
735 9th Ave,,Business,Bakery,1,40.76352361,-73.98944236,
7617 10th Ave,,Residence,,8,40.62411221,-74.01488086,
7620 13th Ave,,Business,Ice Cream Parlor,2,40.62025696,-74.0083316,
78th St  & 13th Ave,,Roadway,Corner,2,40.61930395,-74.00934847,
78th St & 10th Ave,,Roadway,Corner,1,40.62273677,-74.01586931,
7th Ave & 86th St,,Hospitality,Lunch wagon,1,40.61938946,-74.02104019,
804 9th Ave,Mellor's Radio Store,Business,Radio store,3,40.7659692,-73.98709354,
833 9th Ave,Reliable Auction House,Business,Auction house,1,40.76668443,-73.98701218,
83rd St & 11th Ave,,Roadway,Corner,1,40.61867513,-74.01657601,
84th-85th St & 11th Ave,,Roadway,Street,1,40.61761142,-74.01737424,
86th Street & 3rd Ave,Woolworths ,Business,5 & 10 cent store,3,40.62393057,-74.03118803,
8th St & 1st Ave,BMT,Transportation,Subway station,5,40.72780178,-73.98529306,
8th St & Astor Place,Corn Exchange Bank,Business,Bank,1,40.72767169,-73.98531453,
8th St & Broadway,BMT,Transportation,Subway station,2,40.73074466,-73.99237954,
8th St BMT station,BMT,Transportation,Subway station,1,40.73128846,-73.99235798,
Allen & Rivington Streets,,Transportation,Subway station,1,40.72056865,-73.98952799,
Avenue C & East 10th St,,Transportation,Street Car stop,4,40.72606042,-73.97746316,
Broadway & 91st St,,Residence,,3,40.79166625,-73.97421369,
Butler St & 4th Ave,,Roadway,Corner,1,40.68006375,-73.98126467,
Carlton Ave  ,,Transportation,Subway station,1,40.8424927,-74.11400175,
Carlton Ave & Grant St,,Roadway,Street,2,40.84878652,-74.11556403,
Clinton & Delancey St,,Neighborhood & Parks,,1,40.71795988,-73.98566845,
Crescent St & Ditmars Blvd,,Business,Newspaper store,5,40.77895328,-73.91444346,
Ditmars Blvd & 31st St,Woolworths ,Business,5 & 10 cent store,1,40.77629751,-73.91075191,
Ditmars Blvd & 32nd St,,Roadway,Sidewalk,1,40.77596872,-73.91022313,"No Ave cross Ditmars - only Streets in 20s-30s - no 22nd, so 32nd"
Ditmars Blvd & 33rd St,,Roadway,Sidewalk,1,40.77547314,-73.90956855,
Ditmars Blvd & Steinway Ave,,Transportation,Street Car stop,1,40.77340976,-73.90601835,
Ditmars Blvd between 32nd and 33rd,Shamrock Bar & Grill,Hospitality,Bar,2,40.7755883,-73.90993442,
Dry Dock & 10th St,,Transportation,Street Car stop,1,40.72557794,-73.97543893,
10th St & Avenue B,,Business,Drug Store,1,40.72707741,-73.97990779,
12th St & Avenue C,Tompkins Square Post Office,Government/Organization,Post office,1,40.72728145,-73.97659845,
Sheriff St & East 2nd St,11th Precinct,Government/Organization,Police station,7,40.72012576,-73.97930681,From 1925 Bromley
 163 East 86th Steet,Horn & Hardart's,Hospitality,Restaurant,1,40.77950034,-73.95455998,
Maybaum Ave near Tremont Ave,,Roadway,Sidewalk,1,40.74737555,-74.21407708,
Newton Ave & Crescent St,Our Lady of Mount Carmel,Government/Organization,Church,5,40.77107292,-73.92381631,
4601 Greenpoint Ave,McCrory's ,Business,5 & 10 cent store,1,40.74242759,-73.918648,
Ralph Ave,,Neighborhood & Parks,,1,40.67791799,-73.92167091,No Reid Ave - but is Ralph Ave
Ralph Ave & Macon St,,Neighborhood & Parks,,1,40.68483456,-73.92283987,No Reid Ave - but is Ralph Ave
Times Square,,Transportation,Subway station,3,40.75809654,-73.98553187,
Utica Ave & Eastern Parkway,,Roadway,Street,1,40.66940364,-73.9308488,
Ditmars Blvd between 31st & 32nd St,McLellan,Business,5 & 10 cent store,2,40.77597829,-73.9104923,
2236 31st St,Schlakes,Business,Grocery Store,1,40.77555251,-73.91178176,
2248 31st St,,Business,Newspaper store,1,40.77523971,-73.91214118,
3509 Ditmars Blvd,,Roadway,Street,1,40.77475741,-73.9084804,
2925 Ditmars Blvd ,,Roadway,Street,1,40.77629703,-73.91078173,
Ditmars Blvd & 29th St,,Roadway,Street,1,40.7768373,-73.91143517,
Ditmars Blvd Subway Station,,Transportation,Subway station,2,40.77512559,-73.91209927,
