Address,Visits,Longitude,Latitude,Name,Location Type
123 Galen Street,3,-71.18566382,42.36126499,Newton Corner Post Office,Government/Organization
Cedar St & Norwood Ave,1,-74.00338492,40.28190637,Norwood Pool Room,Entertainment
Courtland & Greenwich Street,1,-74.01237061,40.7109715,Ninth Avenue Elevated,Transportation
109 Delancey Street,4,-73.988476,40.718882,Queens Cafeteria,Hospitality
165 East Broadway,8,-73.989971,40.713837,Ray Cafeteria,Hospitality
Broadway and 51st Street,1,-73.983656,40.762087,Roseland Dance Hall,Entertainment
521 East 16th Street,11,-73.981859,40.733026,Tom Callahan's residence,Residence
34 W Main St,4,-71.613735,42.2684,Westboro Police Department,Government/Organization
433 East 15th Street,4,-73.975173,40.729131,White Cider House,Hospitality
34 W Main St,5,-71.613735,42.2684,Westboro Mass. Town Hall,Government/Organization
Second Avenue & Houston St,1,-73.99013987,40.72354519,Second Avenue Station,Transportation
103 Knickerbocker Ave,1,-73.92682421,40.70425846,,Business
Whitehall St and State St,1,-74.0133245,40.70211833,South Ferry Station,Transportation
Broadway Long Branch,1,-73.98513957,40.30465523,Woolworth 5 and 10 Cent Store,Business
[Bloomfield Ave],1,-74.18979744,40.77993566,Following car,Roadway
[Broome Street and Bowery],8,-73.99443802,40.7196964,,Hospitality
[East 14th Street and 3rd Ave],5,-73.987188,40.73329,,Roadway
[East 18th Street and 3rd Ave],2,-73.987192,40.733292,,Roadway
[Corner of North Broadway and Long Branch Ave],1,-73.982364,40.305784,,Business
[Myrtle Ave and Franklin Avenue],3,-73.957999,40.694366,,Roadway
Broadway and Pearl St.,3,-74.001195,40.299866,,Transportation
100 Lexington Avenue,2,-73.983093,40.742228,,Residence
109 Essex Street,5,-73.988234,40.719321,,Residence
111 Union Street,1,-74.003465,40.684679,,Residence
115 Hull Street,2,-73.912807,40.679542,,Residence
117 15th St,1,-74.02637636,40.75441614,,Residence
121A Hull Street,10,-73.912561,40.679513,,Residence
122/128 Allen Street,1,-73.99037912,40.71992911,,Residence
125 Elisabeth Street,1,-73.995614,40.719485,,Hospitality
1336 Herkeimer St,3,-73.90928379,40.67743994,,
1354 Herkeimer St,3,-73.90873772,40.67747977,,
140 Skillman St,3,-73.95722477,40.69414868,,Residence
150 West 29th Street,2,-73.992117,40.747296,,Business
1st Ave and E 34th Street,1,-73.973521,40.743789,,Roadway
210 W. 54th Street,1,-73.981994,40.763638,,Business
2156 Fulton St,2,-73.91056455,40.6781958,,Hospitality
245 5th Avenue,1,-73.987066,40.744385,,Business
277 North 12th Street,6,-74.189275,40.7661888,,Residence
277 North 13th Street,4,-74.190846,40.765189,,Residence
319 Morris Avenue,2,-73.992436,40.298889,,Residence
32 Elm Street,15,-71.608616,42.268193,,Residence
331 S. 13th Street,1,-73.985631,40.665581,,Residence
342 West 25th Street,4,-73.999174,40.747252,,Residence
382 State Street,2,-73.984794,40.687549,,Residence
439 1st Ave,1,-73.977578,40.738857,,Hospitality
465 Broadway,5,-73.997574,40.301201,,Residence
506 Bathe Avenue,1,-74.001139,40.298256,,Residence
550 1st Ave,8,-73.973957,40.742506,,Residence
565 Broadway,1,-74.00161827,40.30017323,,Roadway
7 Essex Street,1,-73.99032481,40.71506156,,Business
755 Bergenline Ave,1,-74.03943929,40.75737889,,Business
94 Union Street,3,-74.003709,40.684457,,Residence
Central Railroad of NJ  station,1,-74.04232555,40.70871384,,Transportation
Delancey & Essex Streets,1,-73.98815447,40.71874175,,Roadway
Delancey Street,1,-73.9935219,40.72033134,,Neighborhoods & Parks
East 14th Street,1,-73.98260835,40.73196223,,Neighborhoods & Parks
East 23rd Street,1,-73.98174305,40.73840411,,Neighborhoods & Parks
Lexington Ave and East 26th Street,2,-73.983365,40.741417,,Hospitality
Morse & Galen St,1,-71.1855041,42.3608684,,Hospitality
Union Street and Columbia Street,2,-74.00294515,40.68453185,,Neighborhoods & Parks
W 53rd Street,1,-73.982869,40.763385,,Roadway
